institution,type
Tennessee State University,R2
Tennessee Technological University,R2
Texas A&M University-Corpus Christi,R2
Texas A&M University-Kingsville,R2
Texas Christian University,R2
Texas Southern University,R2
Texas State University,R2
Texas Tech Health Sciences Center,R2
Texas Woman's University,R2
The New School,R2
UT Tyler,R2
UT Medical Branch Galveston,R2
UT Rio Grande Valley,R2
University of West Florida,R2
Thomas Jefferson University,R2
University of Akron,R2
University of Alabama Huntsville,R2
University of Alaska Fairbanks,R2
University of Arkansas at Little Rock,R2
University of Arkansas Medical Sciences,R2
University of Colorado Colorado Springs,R2
UMass Chan Medical School,R2
UMass Dartmouth,R2
University of Michigan-Dearborn,R2
University of Missouri-St. Louis,R2
University of Nebraska Omaha,R2
University of New England,R2
University of New Orleans,R2
UNC Greensboro,R2
UNC Wilmington,R2
University of North Florida,R2
University of Northern Colorado,R2
OU Health Sciences Center,R2
University of Puerto Rico Mayaguez,R2
University of Puerto Rico Rio Piedras,R2
University of San Diego,R2
University of San Francisco,R2
University of South Alabama,R2
University of South Dakota,R2
University of Tulsa,R2
Upstate Medical University,R2
Villanova University,R2
Virginia State University,R2
Wake Forest University,R2
West Chester University,R2
Western Michigan University,R2
Wichita State University,R2
Wright State University,R2
Yeshiva University,R2
Williams College,LAC
Amherst College,LAC
United States Naval Academy,LAC
Swarthmore College,LAC
Bowdoin College,LAC
United States Air Force Academy,LAC
Pomona College,LAC
Wellesley College,LAC
Claremont McKenna College,LAC
United States Military Academy,LAC
Carleton College,LAC
Harvey Mudd College,LAC
Vassar College,LAC
Barnard College,LAC
Wesleyan University,LAC
Davidson College,LAC
Hamilton College,LAC
Smith College,LAC
Grinnell College,LAC
Middlebury College,LAC
Washington and Lee University,LAC
Colgate University,LAC
University of Richmond,LAC
Haverford College,LAC
Colby College,LAC
Bates College,LAC
College of the Holy Cross,LAC
Macalester College,LAC
Mount Holyoke College,LAC
Colorado College,LAC
Bryn Mawr College,LAC
Bucknell University,LAC
Lafayette College,LAC
Denison University,LAC
Franklin and Marshall College,LAC
Occidental College,LAC
Skidmore College,LAC
Pitzer College,LAC
Trinity College,LAC
Spelman College,LAC
Trinity University,LAC
Scripps College,LAC
Soka University of America,LAC
Union College,LAC
Berea College,LAC
Kenyon College,LAC
Dickinson College,LAC
Furman University,LAC
Sewanee: The University of the South,LAC
Hillsdale College,LAC
St. Olaf College,LAC
Wheaton College,LAC
Connecticut College,LAC
Wabash College,LAC
Centre College,LAC
Rhodes College,LAC
Thomas Aquinas College,LAC
DePauw University,LAC
Whitman College,LAC
Oberlin College and Conservatory,LAC
Gettysburg College,LAC
St. Lawrence University,LAC
Reed College,LAC
Principia College,LAC
Virginia Military Institute,LAC
Lawrence University,LAC
Agnes Scott College,LAC
Wofford College,LAC
Kalamazoo College,LAC
Gustavus Adolphus College,LAC
Bard College,LAC
Muhlenberg College,LAC
College of St. Benedict,LAC
Hobart and William Smith Colleges,LAC
Lake Forest College,LAC
Wheaton College,LAC
Earlham College,LAC
College of Wooster,LAC
Willamette University,LAC
Allegheny College,LAC
Knox College,LAC
St. John's University,LAC
Stonehill College,LAC
Saint Mary's College,LAC
St. John's College,LAC
Ursinus College,LAC
Southwestern University,LAC
Austin College,LAC
Drew University,LAC
Washington and Jefferson College,LAC
Hope College,LAC
Juniata College,LAC
Beloit College,LAC
Washington College,LAC
Whittier College,LAC
Saint Anselm College,LAC
University of Puget Sound,LAC
Morehouse College,LAC
St. Mary's College of Maryland,LAC
Augustana College,LAC
Lycoming College,LAC
Lewis & Clark College,LAC
Randolph-Macon College,LAC
Susquehanna University,LAC
St. John's College,LAC
Hendrix College,LAC
Hampden-Sydney College,LAC
Patrick Henry College,LAC
Sarah Lawrence College,LAC
Transylvania University,LAC
St. Norbert College,LAC
Linfield College,LAC
Luther College,LAC
Illinois College,LAC
Hanover College,LAC
Westmont College,LAC
Massachusetts College of Liberal Arts,LAC
Saint Michael's College,LAC
University of Minnesota Morris,LAC
Meredith College,LAC
Westminster College,LAC
Bennington College,LAC
Saint Vincent College,LAC
Ohio Wesleyan University,LAC
Cornell College,LAC
Covenant College,LAC
Roanoke College,LAC
Goucher College,LAC
Coe College,LAC
College of the Atlantic,LAC
Albion College,LAC
Central College,LAC
University of Mary Washington,LAC
State University of New York at Purchase College,LAC
New College of Florida,LAC
Eckerd College,LAC
Concordia College at Moorhead,LAC
University of North Carolina at Asheville,LAC
Hollins University,LAC
Emmanuel College,LAC
University of New Hampshire at Manchester,LAC
Claflin University,LAC
Salem College,LAC
Centenary College of Louisiana,LAC
Ripon College,LAC
Millsaps College,LAC
Franklin College,LAC
Aquinas College,LAC
Houghton College,LAC
New Saint Andrews College,LAC
